Stations_ID; Mess_Datum_Beginn; Mess_Datum_Ende; Qualitaets_Niveau; Art; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR;LUFTTEMPERATUR_MINIMUM;WINDSTAERKE;BEDECKUNGSGRAD; SONNENSCHEINDAUER; NIEDERSCHLAGSHOEHE; max(LUFTTEMPERATUR_MAXIMUM);min(LUFTTEMPERATUR_MINIMUM);max(WINDSPITZE_MAXIMUM); max(NIEDERSCHLAGSHOEHE);eor
  3137;19480101;19480131;   5;   1;    7.6;   5.1;    2.8;    2.50;  7.20;  -999;    73.5;  14.3;  -1.70;  -999;   16.7;eor
  3137;19480201;19480229;   5;   1;    5.6;   2.6;    0.0;    2.70;  5.52;  -999;    34.1;  12.6; -10.60;  -999;    9.9;eor
  3137;19480301;19480331;   5;   1;   13.6;   7.8;    2.6;    1.60;  4.00;  -999;    21.7;  19.6;  -2.60;  -999;   12.7;eor
  3137;19480401;19480430;   5;   1;   17.0;  11.8;    6.6;    2.40;  4.64;  -999;    32.4;  25.6;   2.10;  -999;    5.8;eor
  3137;19480501;19480531;   5;   1;   20.8;  15.7;   10.1;    2.20;  4.40;  -999;    54.3;  27.5;   2.60;  -999;   10.3;eor
  3137;19480601;19480630;   5;   1;   23.0;  17.6;   11.8;    2.10;  5.12;  -999;    46.1;  33.1;   7.10;  -999;   17.1;eor
  3137;19480701;19480731;   5;   1;   22.6;  17.7;   13.3;    2.00;  5.36;  -999;    70.8;  32.2;   7.90;  -999;   16.9;eor
  3137;19480801;19480831;   5;   1;   22.6;  17.6;   13.2;    1.70;  4.88;  -999;    83.6;  33.1;   7.50;  -999;   19.1;eor
  3137;19480901;19480930;   5;   1;   20.0;  14.2;    9.5;    1.30;  4.40;  -999;    21.0;  27.8;   0.20;  -999;    9.6;eor
  3137;19481001;19481031;   5;   1;   14.4;   9.5;    5.1;    1.80;  4.96;  -999;    30.7;  24.7;   0.20;  -999;   10.3;eor
  3137;19481101;19481130;   5;   1;    7.4;   4.2;    1.8;    1.10;  5.76;  -999;    21.9;  13.8;  -6.70;  -999;    9.8;eor
  3137;19481201;19481231;   5;   1;    2.3;   0.1;   -2.2;    1.50;  5.44;  -999;    22.2;  10.7; -11.30;  -999;    6.1;eor
  3137;19490101;19490131;   5;   1;    4.5;   2.2;    0.0;    2.30;  5.92;  -999;    17.3;  10.6;  -6.30;  -999;    5.1;eor
  3137;19490201;19490228;   5;   1;    5.4;   1.9;   -1.3;    1.60;  4.88; 110.3;    12.7;  12.3;  -8.70;  -999;    2.8;eor
  3137;19490301;19490331;   5;   1;   -999;   4.8;   -999;    2.10;  3.52; 196.5;    31.3;  22.4;  -4.90;  -999;   10.2;eor
  3137;19490401;19490430;   5;   1;   18.7;  12.6;    7.0;    2.40;  4.72; 217.4;    29.2;  30.3;   0.20;  -999;   19.7;eor
  3137;19490501;19490531;   5;   1;   18.5;  13.7;    9.3;    2.20;  5.76; 186.1;   104.0;  25.5;  -0.80;  -999;   38.6;eor
  3137;19490601;19490630;   5;   1;   21.1;  16.3;    9.7;    2.00;  4.80; 259.8;    21.7;  28.0;   3.70;  -999;   11.7;eor
  3137;19490701;19490731;   5;   1;   26.7;  20.5;   12.4;    1.80;  3.28; 348.9;     9.5;  34.7;   7.00;  -999;    8.7;eor
  3137;19490801;19490831;   5;   1;   24.7;  18.7;   13.0;    1.60;  4.56; 230.7;    83.4;  32.8;   7.60;  -999;   31.8;eor
  3137;19490901;19490930;   5;   1;   24.6;  17.7;   11.9;    1.10;  3.60; 231.9;    13.6;  33.0;   6.40;  -999;    3.9;eor
  3137;19491001;19491031;   5;   1;   16.1;  11.2;    6.9;    1.50;  4.80; 145.6;    49.5;  22.1;  -0.40;  -999;   25.5;eor
  3137;19491101;19491130;   5;   1;    7.2;   4.6;    1.8;    1.80;  6.24;  67.2;    34.0;  13.1;  -5.80;  -999;    9.2;eor
  3137;19491201;19491231;   5;   1;    5.9;   3.9;    1.5;    2.30;  6.56;  35.5;    76.0;  11.8;  -3.60;  -999;   15.8;eor
  3137;19500101;19500131;   5;   1;    3.0;   0.3;   -2.5;    1.80;  5.60;  86.9;    19.3;  10.8; -12.00;  -999;    8.2;eor
  3137;19500201;19500228;   5;   1;    7.6;   4.4;    0.9;    2.60;  6.48;  58.6;    55.8;  12.2;  -6.40;  -999;   11.6;eor
  3137;19500301;19500331;   5;   1;   11.1;   6.6;    1.6;    1.40;  4.72; 158.6;     4.9;  17.1;  -5.80;  -999;    1.2;eor
  3137;19500401;19500430;   5;   1;   12.6;   8.4;    4.2;    2.90;  5.76; 124.5;    53.7;  22.6;  -0.40;  -999;    9.6;eor
  3137;19500501;19500531;   5;   1;   20.7;  15.4;    9.4;    1.80;  4.16; 267.9;    88.3;  26.1;   2.00;  -999;   23.5;eor
  3137;19500601;19500630;   5;   1;   25.2;  19.4;   12.8;    1.50;  3.84; 295.7;    49.0;  32.5;   8.20;  -999;   15.9;eor
  3137;19500701;19500731;   5;   1;   25.3;  20.1;   14.0;    1.70;  4.40; 270.1;    77.9;  32.6;   8.90;  -999;   34.2;eor
  3137;19500801;19500831;   5;   1;   24.5;  18.4;   12.3;    1.00;  4.48; 247.8;    71.5;  33.0;   6.60;  -999;   19.8;eor
  3137;19500901;19500930;   5;   1;   17.9;  14.1;   10.5;    1.60;  6.16;  16.2;    54.4;  24.8;   5.10;  -999;   12.6;eor
  3137;19501001;19501031;   5;   1;   12.9;   8.5;    5.1;    1.60;  4.96;  -999;    14.0;  19.4;  -5.40;  -999;    5.2;eor
  3137;19501101;19501130;   5;   1;    8.0;   5.5;    2.8;    2.20;  6.80;  20.2;   106.5;  16.6;  -4.60;  -999;   24.4;eor
  3137;19501201;19501231;   5;   1;    0.6;  -1.2;   -3.3;    1.90;  6.88;  26.5;    64.3;   9.8; -10.70;  -999;   19.0;eor
  3137;19510101;19510131;   5;   1;    5.3;   3.4;    1.3;    1.90;  7.04;  27.4;    56.1;   9.5;  -6.30;  -999;   12.8;eor
  3137;19510201;19510228;   5;   1;    6.7;   3.9;    1.4;    2.00;  6.40;  54.7;    20.7;   9.0;  -2.00;  -999;    4.5;eor
  3137;19510301;19510331;   5;   1;    8.1;   4.2;    0.8;    2.50;  5.36; 109.1;    51.2;  17.2;  -7.30;  -999;   10.5;eor
  3137;19510401;19510430;   5;   1;   14.0;   8.8;    3.5;    2.30;  4.72; 185.9;    32.4;  25.2;  -1.30;  -999;    9.2;eor
  3137;19510501;19510531;   5;   1;   19.0;  13.7;    7.9;    2.10;  4.96; 212.1;    63.8;  26.6;  -0.30;  -999;   18.8;eor
  3137;19510601;19510630;   5;   1;   21.5;  16.7;   11.7;    1.50;  5.36; 194.7;    91.7;  27.4;   7.00;  -999;   16.0;eor
  3137;19510701;19510731;   5;   1;   24.6;  19.1;   12.8;    1.30;  4.40; 251.2;    49.8;  31.6;   7.10;  -999;   26.1;eor
  3137;19510801;19510831;   5;   1;   24.0;  18.3;   13.4;    1.30;  5.20; 204.8;    71.0;  32.4;   6.80;  -999;   31.6;eor
  3137;19510901;19510930;   5;   1;   21.1;  15.4;   10.2;    1.30;  4.16; 178.9;    50.0;  29.2;   2.00;  -999;   17.0;eor
  3137;19511001;19511031;   5;   1;   13.7;   8.2;    3.6;    1.30;  3.44;  -999;    17.9;  17.8;  -2.40;  -999;    9.5;eor
  3137;19511101;19511130;   5;   1;   10.1;   7.6;    5.1;    2.10;  6.72;  34.4;    66.1;  14.5;  -0.80;  -999;   14.5;eor
  3137;19511201;19511231;   5;   1;    4.2;   2.5;    0.4;    1.50;  6.96;  26.0;    32.3;   9.5;  -4.30;  -999;   15.1;eor
  3137;19520101;19520131;   5;   1;    3.5;   1.6;   -0.5;    2.30;  6.96;  32.4;    40.0;  10.6;  -5.00;  -999;    5.3;eor
  3137;19520201;19520229;   5;   1;    3.6;   1.3;   -1.3;    1.50;  6.72;  42.9;    31.4;   9.9; -10.00;  -999;   16.2;eor
  3137;19520301;19520331;   5;   1;    9.5;   5.4;    1.7;    1.60;  6.00; 113.1;    62.8;  16.2;  -4.00;  -999;   11.2;eor
  3137;19520401;19520430;   5;   1;   18.0;  12.1;    6.3;    1.20;  4.56; 186.3;    25.8;  25.5;  -1.90;  -999;    7.1;eor
  3137;19520501;19520531;   5;   1;   19.9;  14.7;    8.4;    1.50;  4.48; 217.7;    22.2;  26.6;   1.40;  -999;    6.3;eor
  3137;19520601;19520630;   5;   1;   22.9;  17.6;   11.6;    1.50;  4.56; 222.9;    30.3;  34.5;   6.60;  -999;    9.9;eor
  3137;19520701;19520731;   5;   1;   27.0;  21.4;   14.8;    1.40;  3.68; 273.8;    49.6;  37.8;   8.60;  -999;   44.6;eor
  3137;19520801;19520831;   5;   1;   25.5;  19.5;   13.8;    1.30;  5.28; 183.8;    60.1;  35.2;   8.40;  -999;   16.2;eor
  3137;19520901;19520930;   5;   1;   15.8;  11.6;    8.3;    1.80;  5.68; 101.4;    78.6;  22.2;   2.20;  -999;   13.5;eor
  3137;19521001;19521031;   5;   1;   12.1;   8.1;    4.5;    1.80;  5.60;  97.0;    66.0;  16.0;  -1.90;  -999;   18.0;eor
  3137;19521101;19521130;   5;   1;    5.2;   3.1;    0.8;    1.90;  6.48;  38.8;   106.4;  11.5;  -4.20;  -999;   20.9;eor
  3137;19521201;19521231;   5;   1;    3.1;   1.1;   -1.1;    1.60;  6.32;  40.1;    57.6;  10.1;  -8.20;  -999;   17.1;eor
  3137;19530101;19530131;   5;   1;    2.1;   0.5;   -1.5;    1.20;  6.80;  22.4;     8.4;   9.0;  -7.60;  -999;    4.5;eor
  3137;19530201;19530228;   5;   1;    4.8;   1.8;   -0.7;    2.00;  6.00;  69.4;    20.8;  13.2; -14.30;  -999;    5.3;eor
  3137;19530301;19530331;   5;   1;   13.6;   6.6;    0.4;    1.50;  2.56; 210.2;     4.9;  22.1;  -4.80;  -999;    1.6;eor
  3137;19530401;19530430;   5;   1;   16.2;  10.9;    5.3;    1.70;  4.48; 213.2;    30.5;  23.2;   0.30;  -999;    9.3;eor
  3137;19530501;19530531;   5;   1;   21.0;  15.7;    9.4;    1.90;  4.56; 220.7;    27.6;  31.8;  -1.40;  -999;   11.6;eor
